path,energi0,homogenitas0,entropy0,contras0,correlation0,energi45,homogenitas45,entropy45,contras45,correlation45,energi90,homogenitas90,entropy90,contras90,correlation90,energi135,homogenitas135,entropy135,contras135,correlation135
jeruk\251W.png,0.003549974446139958,0.40559177925606604,6.952407209898893,715816960.9999816,0.9787401917030202,0.0028635550482094953,0.34862396533323403,7.234185026971887,715816960.999961,0.9557322597702931,0.002950706768112363,0.3709254234897731,7.14247500073945,715816960.9999809,0.9686613805562438,0.0028407658030526056,0.3506083432516215,7.22936208269625,715816960.9999626,0.9565371909959779
jeruk\254W.png,0.0025730808297550704,0.3868863660123131,7.208649686753623,715816960.99998,0.9763886028440681,0.0019850937463675093,0.32682705737986273,7.506861195731721,715816960.9999645,0.9507706492046217,0.0020819065685979033,0.3439455670617121,7.428714287542894,715816960.9999788,0.9618371427502246,0.001956817169261035,0.3237946045289938,7.534391255729632,715816960.999964,0.9460532637325993
jeruk\258W.png,0.0028259553589415625,0.3759174317168012,7.2377438120258475,715816960.9999794,0.9737127049635271,0.002233978365905413,0.31681511609505214,7.538002789165868,715816960.9999554,0.9357812243361496,0.002307519812793099,0.3304758800137149,7.465434488129165,715816960.9999781,0.950881148410999,0.0021852650810524525,0.31513417072177635,7.552157110192068,715816960.9999547,0.9380121408036678
jeruk\datatest.jpeg,0.23134622355670492,0.6112225333498974,5.091610182474379,715816960.9999713,0.9805681373184174,0.22361143122683044,0.5929017162778596,5.222495772762699,715816960.9999303,0.9722573648721597,0.23076333951740172,0.6194037603235313,5.061518984977285,715816960.999971,0.9840016236388445,0.22448925250011206,0.5932622389178588,5.190187183760592,715816960.999933,0.9718009371537315
jeruk\jeruk-busuk.jpg,0.00017578685059712915,0.19141451173386026,8.969818103999078,610354290.9999437,0.9243900859226004,0.00016037808751171196,0.1706379355979307,9.046990133489162,610354290.9999136,0.9005547070021994,0.00018526813176672287,0.19423312648490015,8.925186612250455,610354290.9999452,0.9283831314477095,0.00016565207660764757,0.17887817214150903,9.029018811668525,610354290.9999136,0.9074240697392546
jeruk\jeruk-busuk3.jpg,0.0020834921430585057,0.4822408058378159,6.946336421132296,581120892.9999866,0.9390552376442818,0.0019955513901975855,0.4690149601300171,6.990313862997304,581120892.9999713,0.9214180298218961,0.002553751201252388,0.5351193409374991,6.809806514702239,581120892.9999863,0.9465268580736756,0.0019061991747890603,0.4669665019270021,7.026360238593482,581120892.99997,0.9234865175221116
jeruk\jeruk-manis.jpg,0.1841671300530101,0.6105730635441506,4.939808686531085,715816960.9999812,0.941189812337557,0.1775724932192626,0.589045649315313,5.043597760312254,715816960.9999647,0.9347319515930863,0.1863192881659201,0.6149004199684145,4.889005508515632,715816960.9999831,0.9635205992207323,0.17734967294598242,0.5880213104297359,5.045278074407139,715816960.9999641,0.9302542132357459
jeruk\jeruk-tidak-busuk.jpeg,0.00039946259091734257,0.3076212699707659,8.312593081677344,630446752.9999725,0.9762668930632437,0.00032538629154386445,0.26976357703614273,8.528404529639381,630446752.9999473,0.9651086107545881,0.000372558911621699,0.2905753116358682,8.41460417146055,630446752.9999691,0.9744399796937729,0.00030878206712705816,0.2639864304251581,8.550883325926836,630446752.9999471,0.9603501464246557
jeruk\jeruk-tidak-busuk2.jpeg,0.022596403835383843,0.46168953772924215,6.926266039068848,704697600.9999703,0.973179538333976,0.02009064257448389,0.43790962453873417,7.0158461867348505,704697600.9999495,0.964463748155329,0.024582241242117536,0.48178671225325576,6.7817410660183555,704697600.9999726,0.9879959892117021,0.020029480445835707,0.43586783863210893,7.032586470678823,704697600.9999487,0.9687648939253927
jeruk\jeruk-tidak-busuk3.jpeg,0.02423543561686732,0.5264956308432256,6.804614440976453,600490100.99997,0.9756678436852994,0.023131481689834213,0.4899776275755085,6.9558915214207895,600490100.9999524,0.9668042041194079,0.02427581478698114,0.5288346235703312,6.794665890400084,600490100.9999694,0.9800582923335532,0.022849096476294496,0.5000722320774933,6.937211393964773,600490100.9999492,0.97030626603288
jeruk\lekapp.png,0.002052121230706883,0.36436895067303837,7.4675617974918325,715816960.9999778,0.9566094742977629,0.0015022834931277761,0.301664187662752,7.801369106034975,715816960.9999555,0.9016151460310659,0.0016025276191179566,0.3207215834612864,7.6984624566566335,715816960.9999764,0.944314159464737,0.001509777401103378,0.3040782921247569,7.78510985715582,715816960.9999565,0.9297099229920437
