path,energi0,homogenitas0,entropy0,contras0,correlation0,energi45,homogenitas45,entropy45,contras45,correlation45,energi90,homogenitas90,entropy90,contras90,correlation90,energi135,homogenitas135,entropy135,contras135,correlation135
Whole\100W.png,0.002676886762464549,0.3783118046022153,7.226136300887383,715816960.9999844,0.9753005466258151,0.002057784077128832,0.31818455544521884,7.511061320696261,715816960.9999634,0.9488979945624397,0.0021508695971489433,0.33750389232144135,7.402225067717058,715816960.9999827,0.9643357306971565,0.0020588584794264636,0.3216052899163035,7.510019581282618,715816960.9999627,0.9484794693798536
Whole\101W.png,0.0023963630690928867,0.3497314394332585,7.5321604552997075,715816960.999973,0.9821092212275243,0.0019526406465545719,0.30383552784478096,7.773972482788284,715816960.999943,0.9627800365492197,0.0020740865456335836,0.3203832350841817,7.666729109821219,715816960.9999725,0.9720641538288771,0.0019229052656131633,0.2975043709929085,7.7863628897832236,715816960.9999422,0.9594330811704377
Whole\102W.png,0.0021128933859425624,0.3635342156733252,7.4635903184854655,715816960.9999741,0.974523874776159,0.001541238744948621,0.30254302196193955,7.782233344710541,715816960.9999517,0.9471961183615195,0.001651006842052947,0.3265554973989882,7.66711986015084,715816960.9999733,0.9647226348406694,0.001554881155518216,0.3058822505110809,7.775284666006943,715816960.999949,0.9507631139868541
Whole\103W.png,0.0029961056626211366,0.3928105510327533,7.052882307682882,715816960.9999862,0.94663322191436,0.002380050950195027,0.33727949359205184,7.335488898556432,715816960.9999685,0.8998704769116603,0.0024686732112717785,0.3550280634130691,7.242212530152943,715816960.9999864,0.929816163813864,0.0023427678450627875,0.33445405623965513,7.343301314098216,715816960.9999691,0.8923217949281258
Whole\104W.png,0.0023349305731810133,0.37155407886855674,7.365886137778525,715816960.9999812,0.9553367273394766,0.0018264262456975076,0.3173169918617133,7.65549494490939,715816960.9999602,0.9073514032597553,0.001887007680265561,0.33192293828999414,7.581445671334866,715816960.9999795,0.923412148429989,0.0017557905411549656,0.3088459864610923,7.7051546258306765,715816960.9999579,0.8926014046280641
Whole\105W.png,0.0027602505156178116,0.37697536569969947,7.236082152365929,715816960.9999827,0.952642596581873,0.002207233628926501,0.32045392694942515,7.50442051735365,715816960.9999627,0.9119790775559244,0.002301204004263036,0.33713417960829656,7.423397254734939,715816960.999981,0.9311837399922697,0.0021496675766625663,0.31693006669841817,7.551275736310915,715816960.9999596,0.8965185458859767
Whole\106W.png,0.002183483615013573,0.3536493416838634,7.473188398652917,715816960.9999748,0.9696480209526107,0.0016702285249072058,0.2962041756204738,7.7551371117206696,715816960.9999434,0.9379693643475441,0.001781949181574394,0.31759032693356964,7.666421210887688,715816960.9999741,0.9514840292743587,0.0016390343401305948,0.2965831408627218,7.772714146714766,715816960.9999456,0.9291635020760017
Whole\107W.png,0.00207453497182342,0.36541673551629344,7.372650307472856,715816960.9999825,0.9471430279823587,0.0015345232500866895,0.30829885767233123,7.6857786895586475,715816960.999959,0.8885879865192523,0.001593347180835205,0.31921526396307115,7.610940122493091,715816960.9999814,0.9157004418296179,0.0015159355137358088,0.3045138328428819,7.698854851177053,715816960.9999571,0.8820306171509787
Whole\108W.png,0.0026332285940935556,0.38433951316364834,7.080772965570168,715816960.9999875,0.9373884788289866,0.0020449027816035795,0.3275864491203146,7.3694657834875885,715816960.9999764,0.8807971365188191,0.0021615201921805845,0.3493580625791903,7.282597295842583,715816960.9999871,0.9064303125364348,0.0019739018956001957,0.3237909195709694,7.413818692359972,715816960.9999747,0.8669845108398966
Whole\109W.png,0.00181348659816484,0.3510785256954067,7.6752757721727365,715816960.9999745,0.9853473899232685,0.0013685444321720087,0.2934489345495729,7.991283663669914,715816960.9999357,0.9649111892153112,0.001434422668650319,0.30647423835683746,7.912657478633561,715816960.9999737,0.9741937160027457,0.0013315092660315,0.29195860762514886,8.002271996732919,715816960.9999349,0.9647955154663835
Whole\10W.png,0.001844603969969815,0.3524425098433679,7.435019498628087,715816960.999984,0.9464146318781439,0.0014431298625135116,0.3025045051227586,7.722901965047531,715816960.9999654,0.8912263341704918,0.001521405996913729,0.3161345491318789,7.628558371839555,715816960.9999828,0.9205332667807682,0.0014375310541183074,0.3025875828920472,7.732588523662589,715816960.9999651,0.8899646255699604
Whole\110W.png,0.002589521231288132,0.37624717370031935,7.183003944278955,715816960.9999855,0.9360578401419761,0.0020086018223998974,0.31891083118222263,7.454363346048103,715816960.9999666,0.8916507286178366,0.0021186907608186038,0.33599446896242563,7.3701715170558355,715816960.9999838,0.9146052659706697,0.0020250791943094244,0.3222564532935989,7.470717569312124,715816960.9999664,0.8673100833793583
Whole\111W.png,0.002376055228184215,0.3851990127852855,7.3658576210292415,715816960.9999808,0.9799158364517155,0.001809645196573357,0.32734825545096463,7.6647979346963275,715816960.9999528,0.9623633475111263,0.001894050052748755,0.3454079946975128,7.572786504367528,715816960.9999783,0.9710923909389745,0.0017996757426955818,0.32508833336741116,7.675832718696514,715816960.9999534,0.9554370357529722
Whole\112W.png,0.0020411660086012517,0.3671572917677522,7.3855753298133555,715816960.9999822,0.9598674492536214,0.0015968885555476735,0.3178204977045952,7.663567230502261,715816960.9999648,0.9221415207950007,0.001693840057602156,0.3334124656412811,7.556837569701337,715816960.9999814,0.9402773622356871,0.0015557652790547248,0.30931032842020967,7.678259147548042,715816960.9999623,0.9121962679155968
Whole\113W.png,0.0021115443231859033,0.35996540693500584,7.384326864593871,715816960.9999824,0.946428401205715,0.0016051339685292808,0.3064843906895059,7.668095988025155,715816960.9999611,0.8975077297926993,0.0016945439164317384,0.32790792767541904,7.554220474012997,715816960.9999814,0.9311212878836859,0.001554181544719789,0.3031489417206145,7.67950744675361,715816960.9999614,0.8994411267136888
Whole\114W.png,0.0022398982786243134,0.36804989429887197,7.358610048261249,715816960.9999774,0.9668837434238868,0.0017472472169817105,0.3204124907230423,7.628039256802688,715816960.9999627,0.9317282975737554,0.0018452756632077552,0.3402405606282918,7.526562251097294,715816960.9999763,0.9492046501598962,0.0017192820051209802,0.31573783149823265,7.648758285275752,715816960.9999621,0.9270673081694029
Whole\115W.png,0.002264682813056706,0.3782253189713584,7.262061506583662,715816960.9999849,0.9567492400958698,0.001719704846812362,0.3226093414790871,7.554314374149612,715816960.9999703,0.9113274873304619,0.0018369126093722454,0.34033608609002913,7.448953044707888,715816960.9999835,0.9370068128821301,0.001775977387902303,0.32775358333696464,7.5415333777629465,715816960.9999697,0.9095645759996537
